Model,Replicate,Time,Average,SE
28062018,Rep 3,56,3290.699152122341,114.78911982029992
28062018,Rep 4,56,3292.579767540126,110.2369913798629
28062018,Rep 5,56,3340.312613422877,114.01797240347315
28062018,Rep 1,57,3375.066674,104.73106907837817
28062018,Rep 2,57,3120.1568807332396,109.25441719593015
28062018,Rep 3,57,3270.870182798178,113.66769786223166
28062018,Rep 4,57,3242.916807459272,108.09967191844869
28062018,Rep 5,57,3308.3060003172714,113.41218283030486
28062018,Rep 1,58,3305.6547760410067,100.34711593420808
28062018,Rep 2,58,3075.410361996606,105.98294371648386
28062018,Rep 3,58,3203.7384456067275,109.20760712942686
28062018,Rep 4,58,3194.5494678908444,103.1702182627528
28062018,Rep 5,58,3207.8556014334167,109.16166451827826
28062018,Rep 1,59,3298.960234533486,94.73970897871322
28062018,Rep 2,59,3034.761281819243,101.58282594885789
28062018,Rep 3,59,3174.3675198681362,104.30245891321842
28062018,Rep 4,59,3167.383514607858,96.38000548106555
28062018,Rep 5,59,3166.394913163782,103.89953771685397
28062018,Rep 1,60,3315.9534608800845,91.12062853626344
28062018,Rep 2,60,3055.9078858954617,98.53464317547923
28062018,Rep 3,60,3161.3905067920978,101.10104706656787
28062018,Rep 4,60,3104.7314168801854,92.76466125954059
28062018,Rep 5,60,3146.104188,99.92896833725932
28062018,Rep 1,61,3389.7212927476508,93.80565719634833
28062018,Rep 2,61,3074.0330056456382,102.1719530719612
28062018,Rep 3,61,3211.8476186380212,100.82604301784876
28062018,Rep 4,61,3080.025921877803,94.92548200049605
28062018,Rep 5,61,3179.445258844798,101.93463217906691
28062018,Rep 1,62,3524.4982013764798,105.77779374960014
28062018,Rep 2,62,3162.993632708064,112.15759708650185
28062018,Rep 3,62,3376.5511243325222,109.41494009178834
28062018,Rep 4,62,3173.9017030946166,106.51915157784624
28062018,Rep 5,62,3305.6234865861634,114.06337030479663
28062018,Rep 1,63,3765.646277756087,128.20139349048824
28062018,Rep 2,63,3410.222338351945,132.24591585931273
28062018,Rep 3,63,3584.5954639072406,130.1267919101144
28062018,Rep 4,63,3429.116661725191,127.79926582401568
28062018,Rep 5,63,3550.311914440712,134.62941911852798
28062018,Rep 1,64,4100.047105287132,156.88077629843872
28062018,Rep 2,64,3723.255909378693,156.3276992522406
28062018,Rep 3,64,3860.0641782411453,158.6291414083094
28062018,Rep 4,64,3731.030312697032,155.59261694889213
28062018,Rep 5,64,3982.306511193148,161.5567022932853
28062018,Rep 1,65,4545.912899140874,188.1713705626825
28062018,Rep 2,65,4115.9209602567225,182.2415652517802
28062018,Rep 3,65,4186.291955256931,188.8903221733933
28062018,Rep 4,65,4054.9369797080794,183.32503691620607
28062018,Rep 5,65,4374.411897046151,186.91604562484042
28062018,Rep 1,66,5006.170723582967,225.41361549893705
28062018,Rep 2,66,4596.194477434481,210.55704583992207
28062018,Rep 3,66,4617.735565425829,225.2851326443636
28062018,Rep 4,66,4433.242032609618,215.2285567
28062018,Rep 5,66,4915.986407230199,219.3147767860894
28062018,Rep 1,67,5459.238273408339,257.56486973373006
28062018,Rep 2,67,5129.115481277035,233.27925025745685
28062018,Rep 3,67,5040.072909539253,252.23951912566696
28062018,Rep 4,67,4861.582270934488,243.86875322376173
28062018,Rep 5,67,5395.695707160722,250.65315762272138
28062018,Rep 1,68,5716.280161525103,274.4727618569884
28062018,Rep 2,68,5304.7572957617485,244.1310977
28062018,Rep 3,68,5226.607757930709,262.25313720259385
28062018,Rep 4,68,5079.186166203787,259.38016009233786
28062018,Rep 5,68,5615.658662619161,267.16179034707176
28062018,Rep 1,69,5587.482257,272.9815326893501
28062018,Rep 2,69,5277.083279701856,240.7422443858862
28062018,Rep 3,69,5228.860371,259.20033682894194
28062018,Rep 4,69,4972.310779320492,259.5230944198822
28062018,Rep 5,69,5468.830790145205,266.5795488893605
28062018,Rep 1,70,5252.301812545323,258.85116548394836
28062018,Rep 2,70,5063.324757650756,220.60843461826565
28062018,Rep 3,70,4898.669302385785,243.75790214049113
28062018,Rep 4,70,4632.241816250837,240.664745
28062018,Rep 5,70,5108.956969990396,248.43668948112185
28062018,Rep 1,71,4864.818258597287,240.23313202087138
28062018,Rep 2,71,4676.058332267886,200.64065363912403
28062018,Rep 3,71,4622.849647410344,221.25383029771018
28062018,Rep 4,71,4344.818431363751,223.85018844701378
28062018,Rep 5,71,4684.8968721394995,227.0976734348103
28062018,Rep 1,72,4616.855226288307,220.06047374589397
28062018,Rep 2,72,4340.190359,189.44117530996468
28062018,Rep 3,72,4286.114311164953,201.92312444503747
28062018,Rep 4,72,4024.800048594218,206.4721073274862
28062018,Rep 5,72,4320.154794087666,208.5497256633691
28062018,Rep 1,73,4574.229342771606,239.44238359366074
28062018,Rep 2,73,4064.4803925743313,222.03699459059294
28062018,Rep 3,73,3962.797317403182,243.95989721397456
28062018,Rep 4,73,4115.042940893562,235.88229977362835
28062018,Rep 5,73,4159.8986088754245,246.4952116561414
28062018,Rep 1,74,4359.280986163807,230.67590463406307
28062018,Rep 2,74,3842.086943232373,210.04751415050484
28062018,Rep 3,74,3777.3143100459633,233.54952178746913
28062018,Rep 4,74,3924.925525585836,217.6368005388007
28062018,Rep 5,74,3942.094026,233.83558267490736
28062018,Rep 1,75,4309.294855218814,234.60741366995407
28062018,Rep 2,75,3753.5425879855443,209.0968198419302
