Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
50,2,3328,0.001075333,8.164965809195101e-07,40,0.107533333
50,3,3326,0,0,30,0
50,3,3327,0.001695211,2.650464964282226e-06,30,0.169521067
50,3,3328,0.001769,1.1303883305139961e-06,30,0.1769
50,4,3326,0,0,20,0
50,4,3327,0.022359018,4.399446893229694e-05,20,2.235901831
50,4,3328,0.026538,2.4840602962812467e-05,20,2.6538
50,5,3326,0,0,10,0
50,5,3327,0,0,10,0
50,5,3328,0.16694566666666666,1.1303883305190756e-06,10,16.69456667
50,6,3326,0,0,0,0
50,6,3327,0,0,0,0
50,6,3328,0,0,0,0
51,1,3326,0.000178063,5.194867228594619e-06,51,0.017806336
51,1,3327,0.000615027,1.359659838153007e-06,51,0.061502732
51,1,3328,0.000620333,1.333333333319994e-06,51,0.062033333
51,2,3326,2.743657350120858e-07,2.743657350120858e-07,41,2.74366E-05
51,2,3327,0.001007135,1.8037926102666543e-06,41,0.100713498
51,2,3328,0.001022,9.718253158064116e-07,41,0.1022
51,3,3326,0,0,31,0
51,3,3327,0.001548892,4.418371496949057e-06,31,0.15488919
51,3,3328,0.001676667,2.3570226039527816e-06,31,0.167666667
51,4,3326,0,0,21,0
51,4,3327,0.014694490176770342,5.162722283324924e-05,21,1.469449018
51,4,3328,0.020821333,1.6494106691642156e-05,21,2.082133333
51,5,3326,0,0,11,0
51,5,3327,0,0,11,0
51,5,3328,0.096336333,7.646604184575472e-05,11,9.633633333
51,6,3326,0,0,1,0
51,6,3327,0,0,1,0
51,6,3328,0,0,1,0
52,1,3326,0.000114411,4.724351703331768e-06,52,0.011441051
52,1,3327,0.000573285,1.5542206527028606e-06,52,0.057328539
52,1,3328,0.000588333,1.2909944487422573e-06,52,0.058833333
52,2,3326,2.743657350120858e-07,2.743657350120858e-07,42,2.74366E-05
52,2,3327,0.000927204,3.263183611566026e-06,42,0.092720364
52,2,3328,0.00096,1.5811388300841938e-06,42,0.096
52,3,3326,0,0,32,0
52,3,3327,0.001284452,1.824175094627631e-06,32,0.128445235
52,3,3328,0.001547667,5.33853912601691e-06,32,0.154766667
52,4,3326,0,0,22,0
52,4,3327,0.010328018,2.7641363959443833e-05,22,1.032801827
52,4,3328,0.011615333,2.6110874703421787e-05,22,1.161533333
52,5,3326,0,0,12,0
52,5,3327,0,0,12,0
52,5,3328,0.072603667,7.36855179499792e-05,12,7.260366667
52,6,3326,0,0,2,0
52,6,3327,0,0,2,0
52,6,3328,0,0,2,0
53,1,3326,6.282975331776765e-05,4.00893312779749e-06,53,0.006282975
53,1,3327,0.000544643,2.152675472038463e-06,53,0.054464332
53,1,3328,0.000560333,9.718253158064147e-07,53,0.056033333
53,2,3326,0,0,43,0
53,2,3327,0.000884352,4.0729320989379185e-06,43,0.088435155
53,2,3328,0.000912667,2.505549396397043e-06,43,0.091266667
53,3,3326,0,0,33,0
53,3,3327,0.001228944,5.0630976954340685e-06,33,0.122894447
53,3,3328,0.001474667,4.027681991199725e-06,33,0.147466667
53,4,3326,0,0,23,0
53,4,3327,0.003990351,2.5141087176704517e-05,23,0.399035051
53,4,3328,0.010592666666666641,2.686178615721089e-05,23,1.059266667
53,5,3326,0,0,13,0
53,5,3327,0,0,13,0
53,5,3328,0.036986333333333274,0.00013138,13,3.698633333
53,6,3326,0,0,3,0
53,6,3327,0,0,3,0
53,6,3328,0,0,3,0
54,1,3326,4.6916540687066675e-05,2.890622385734282e-06,54,0.004691654
54,1,3327,0.000516445,2.2035999348655037e-06,54,0.051644532
54,1,3328,0.000534,6.666666666799906e-07,54,0.0534
54,2,3326,0,0,44,0
