Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
28,1,3328,0.001963333,0,28,0.196333333
28,2,3326,0,0,18,0
28,2,3327,0.039591550812468776,8.691903123681048e-06,18,3.959155081
28,2,3328,0.039872333,1.8708286933859052e-06,18,3.987233333
28,3,3326,0,0,8,0
28,3,3327,0,0,8,0
28,3,3328,0.23882966666666663,3.3333333333517014e-07,8,23.88296667
29,1,3326,4.938583230217545e-06,1.4775047004706758e-06,29,0.000493858
29,1,3327,0.001811333,1.8774468734439222e-06,29,0.181133315
29,1,3328,0.001866667,0,29,0.186666667
29,2,3326,0,0,19,0
29,2,3327,0.033126659,4.782705349415012e-06,19,3.312665899
29,2,3328,0.033336333,1.6158932857996933e-06,19,3.333633333
29,3,3326,0,0,9,0
29,3,3327,0.000672978,1.3657194823138536e-05,9,0.067297754
29,3,3328,0.1996866666666666,0,9,19.96866667
30,1,3326,1.563884689568889e-05,2.5883611673868593e-06,30,0.001563885
30,1,3327,0.001718302,4.0850179774466305e-06,30,0.171830195
30,1,3328,0.001776333,3.3333333331998046e-07,30,0.177633333
30,2,3326,0,0,20,0
30,2,3327,0.027519031,8.437197828973119e-06,20,2.751903088
30,2,3328,0.027870667,1.943650631617111e-06,20,2.787066667
30,3,3326,0,0,10,0
30,3,3327,0.002758298,2.6877738806347582e-05,10,0.27582976
30,3,3328,0.16463666666666663,2.2161026851454626e-05,10,16.46366667
30,4,3326,0,0,0,0
30,4,3327,0,0,0,0
30,4,3328,0,0,0,0
31,1,3326,3.127769379137779e-05,3.19962680489869e-06,31,0.003127769
31,1,3327,0.001551778,4.702143289062373e-06,31,0.155177831
31,1,3328,0.001646667,2.4720661623674894e-06,31,0.164666667
31,2,3326,0,0,21,0
31,2,3327,0.016460307,3.419934167820289e-05,21,1.646030687
31,2,3328,0.023234333333333322,3.822448313720167e-06,21,2.323433333
31,3,3326,0,0,11,0
31,3,3327,0.000293526,9.46958583888139e-06,11,0.029352567
31,3,3328,0.12644699999999995,2.0216879636144714e-05,11,12.6447
31,4,3326,0,0,1,0
31,4,3327,0,0,1,0
31,4,3328,0,0,1,0
32,1,3326,0.00061842,1.2188448808150926e-05,32,0.061842037
32,1,3327,0.001390139,6.2544352555072595e-06,32,0.139013936
32,1,3328,0.001504,4.76095228571067e-06,32,0.1504
32,2,3326,0,0,22,0
32,2,3327,0.011648218,3.653515029520975e-05,22,1.16482177
32,2,3328,0.019268667,9.043106644179467e-06,22,1.926866667
32,3,3326,0,0,12,0
32,3,3327,0.000244457,1.0627403746584668e-05,12,0.024445671
32,3,3328,0.10155599999999995,3.830651235611093e-05,12,10.1556
32,4,3326,0,0,2,0
32,4,3327,0,0,2,0
32,4,3328,0,0,2,0
33,1,3326,0.00092132,8.747492196720126e-06,33,0.092132014
33,1,3327,0.001316425,5.588405935186766e-06,33,0.131642489
33,1,3328,0.001427667,4.876246279446133e-06,33,0.142766667
33,2,3326,0,0,23,0
33,2,3327,0.009628841,3.353999085019494e-05,23,0.962884101
33,2,3328,0.016102,4.6368092477554284e-06,23,1.6102
33,3,3326,0,0,13,0
33,3,3327,0.000200272,9.456562059052657e-06,13,0.020027243
33,3,3328,0.084269667,4.986481725625352e-05,13,8.426966667
