Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
27,3,3328,0.285643,8.164965809204219e-07,7,28.5643
28,1,3326,0.000843675,4.1609623894226655e-06,28,0.084367464
28,1,3327,0.00195521,1.6982145935513759e-06,28,0.195520958
28,1,3328,0.001963333,0,28,0.196333333
28,2,3326,9.328434990410919e-06,2.098494355031779e-06,18,0.000932843
28,2,3327,0.039874641,0,18,3.9874641
28,2,3328,0.039870666666666645,1.2472191289282588e-06,18,3.987066667
28,3,3326,0,0,8,0
28,3,3327,0.23881288626546304,1.8037926102572624e-06,8,23.88128863
28,3,3328,0.23882833333333328,7.453559925099849e-07,8,23.88283333
29,1,3326,0.000879342,6.47816951583801e-06,29,0.087934218
29,1,3327,0.00186129,9.678129658790548e-07,29,0.186129025
29,1,3328,0.001866667,0,29,0.186666667
29,2,3326,0.000207695,9.869542247434439e-06,19,0.020769486
29,2,3327,0.033339143,0,19,3.333914316
29,2,3328,0.033334333,9.999999999972992e-07,19,3.333433333
29,3,3326,0,0,9,0
29,3,3327,0.1996813847661952,7.529455237977079e-07,9,19.96813848
29,3,3328,0.1996856666666666,6.666666666565781e-07,9,19.96856667
30,1,3326,0.000863429,6.295483065094106e-06,30,0.086342897
30,1,3327,0.001771145,1.0295178136438532e-06,30,0.177114545
30,1,3328,0.001776667,0,30,0.177666667
30,2,3326,0.000454075,6.859143375304008e-06,20,0.045407529
30,2,3327,0.027874947406283202,0,20,2.787494741
30,2,3328,0.027871667,1.1785113019802706e-06,20,2.787166667
30,3,3326,0,0,10,0
30,3,3327,0.1669186354386732,1.9035237734091968e-06,10,16.69186354
30,3,3328,0.16694866666666663,1.855921454263627e-06,10,16.69486667
30,4,3326,0,0,0,0
30,4,3327,0,0,0,0
30,4,3328,0,0,0,0
31,1,3326,0.000825018,5.957591494289707e-06,31,0.082501777
31,1,3327,0.001682333,1.0295178136460079e-06,31,0.168233284
31,1,3328,0.00169,0,31,0.169
31,2,3326,0.000393715,5.868477197806533e-06,21,0.039371483
31,2,3327,0.023304872592761962,7.529455238017258e-07,21,2.330487259
31,2,3328,0.023290333333333323,1.6158932858026367e-06,21,2.329033333
31,3,3326,0,0,11,0
31,3,3327,0.13721792282850392,3.0882341941032435e-05,11,13.72179228
31,3,3328,0.1352653333333333,2.9820760851756807e-05,11,13.52653333
31,4,3326,0,0,1,0
31,4,3327,0,0,1,0
31,4,3328,0,0,1,0
32,1,3326,0.00067247,1.228074024826693e-05,32,0.067247042
32,1,3327,0.001574203,1.4474684310490824e-06,32,0.157420349
32,1,3328,0.001606667,0,32,0.160666667
32,2,3326,0.000150352,3.9901117415453955e-06,22,0.015035242
32,2,3327,0.019475273,6.473275614206906e-07,22,1.94752729
32,2,3328,0.019302333,4.365266951232828e-06,22,1.930233333
32,3,3326,0,0,12,0
32,3,3327,0.10714464132472883,3.458457234718397e-05,12,10.71446413
32,3,3328,0.10611066666666664,7.963388446858678e-05,12,10.61106667
32,4,3326,0,0,2,0
32,4,3327,0,0,2,0
32,4,3328,0,0,2,0
33,1,3326,0.000617049,8.085647120818111e-06,33,0.061704854
33,1,3327,0.001474733,2.799710962228122e-06,33,0.147473337
33,1,3328,0.001528333,0,33,0.152833333
33,2,3326,0.000104533,3.1101507224586053e-06,23,0.010453335
33,2,3327,0.016276465,1.2461488255488117e-06,23,1.627646477
33,2,3328,0.016084333,7.898663740702172e-06,23,1.608433333
33,3,3326,0,0,13,0
33,3,3327,0.083545133,3.8092159104832256e-05,13,8.35451329
33,3,3328,0.056530999999999956,7.21468410026856e-05,13,5.6531
33,4,3326,0,0,3,0
33,4,3327,0,0,3,0
33,4,3328,0,0,3,0
34,1,3326,0.000587143,6.536011462760771e-06,34,0.058714267
34,1,3327,0.001400353,2.641148714125748e-06,34,0.140035281
34,1,3328,0.001453333,0,34,0.145333333
34,2,3326,0.000192056,8.05766901921253e-06,24,0.019205601
34,2,3327,0.013607868,1.142977214129206e-06,24,1.360786791
34,2,3328,0.013437333,1.0496030995885626e-05,24,1.343733333
