Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
148,14,0,0,18,0
148,15,0,0,8,0
149,1,5.7068072882513856e-05,3.5135957755539296e-06,149,0.005706807
149,2,5.981173023263471e-05,3.1760130002140654e-06,139,0.005981173
149,3,7.023762816309397e-05,2.2289577681543576e-06,129,0.007023763
149,4,6.145792464270721e-05,2.2289577681543564e-06,119,0.006145792
149,5,6.475031346285225e-05,2.8247681310444842e-06,109,0.006475031
149,6,1.0425897930459262e-05,2.016168161049815e-06,99,0.00104259
149,7,0,0,89,0
149,8,0,0,79,0
149,9,0,0,69,0
149,10,0,0,59,0
149,11,0,0,49,0
149,12,0,0,39,0
149,13,0,0,29,0
149,14,0,0,19,0
149,15,0,0,9,0
150,1,5.7068072882513856e-05,3.5135957755539296e-06,150,0.005706807
150,2,5.981173023263471e-05,3.1760130002140654e-06,140,0.005981173
150,3,6.914016522304562e-05,2.660074494366628e-06,130,0.006914017
150,4,6.145792464270721e-05,2.053165158171264e-06,120,0.006145792
150,5,6.36528505228039e-05,2.5146034975901544e-06,110,0.006365285
150,6,1.0425897930459262e-05,2.016168161049815e-06,100,0.00104259
150,7,0,0,90,0
150,8,0,0,80,0
150,9,0,0,70,0
150,10,0,0,60,0
150,11,0,0,50,0
150,12,0,0,40,0
150,13,0,0,30,0
150,14,0,0,20,0
150,15,0,0,10,0
150,16,0,0,0,0
151,1,5.6519341412489675e-05,3.1996268048986897e-06,151,0.005651934
151,2,5.9262998762610535e-05,3.42682693195916e-06,141,0.0059263
151,3,6.914016522304562e-05,2.660074494366628e-06,131,0.006914017
151,4,6.20066561127314e-05,3.1996268048986914e-06,121,0.006200666
151,5,6.310411905277973e-05,2.6028619036331856e-06,111,0.006310412
151,6,1.0425897930459262e-05,2.016168161049815e-06,101,0.00104259
151,7,0,0,91,0
151,8,0,0,81,0
151,9,0,0,71,0
151,10,0,0,61,0
151,11,0,0,51,0
151,12,0,0,41,0
151,13,0,0,31,0
151,14,0,0,21,0
151,15,0,0,11,0
151,16,0,0,1,0
152,1,5.6519341412489675e-05,3.1996268048986897e-06,152,0.005651934
152,2,5.542187847244134e-05,3.404789231142391e-06,142,0.005542188
152,3,6.58477764029006e-05,2.2955084313525297e-06,132,0.006584778
152,4,6.090919317268305e-05,2.9294244224001266e-06,122,0.006090919
152,5,6.255538758275558e-05,2.3601832947051855e-06,112,0.006255539
152,6,9.87716646043509e-06,1.646194410072515e-06,102,0.000987717
152,7,0,0,92,0
152,8,0,0,82,0
