Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
72,4,0.000732008,7.4836994910441024e-06,42,0.073200778
72,5,0.001309273,7.9234240175361e-06,32,0.130927329
72,6,0,0,22,0
72,7,0,0,12,0
72,8,0,0,2,0
73,1,0.000175045,2.016168161046732e-06,73,0.017504534
73,2,0.000247478,5.446004340810254e-06,63,0.024747789
73,3,0.000359968,8.064672644200887e-06,53,0.035996784
73,4,0.000714448,8.873515546271929e-06,43,0.071444837
73,5,0.001249462,1.2257732533837537e-05,33,0.124946156
73,6,0,0,23,0
73,7,0,0,13,0
73,8,0,0,3,0
74,1,0.000102064,2.929424422395169e-06,74,0.010206405
74,2,0.000232662,6.515825188976882e-06,64,0.023266214
74,3,0.000332531,8.111208937235788e-06,54,0.033253127
74,4,0.000688658,4.338103172707975e-06,44,0.068865799
74,5,0.001180321,1.1555977298235028e-05,34,0.118032139
74,6,0,0,24,0
74,7,0,0,14,0
74,8,0,0,4,0
75,1,9.932039607434967e-05,3.821472487191771e-06,75,0.00993204
75,2,0.000215103,6.352026000423038e-06,65,0.021510274
75,3,0.0003029,5.85884884480535e-06,55,0.030289977
75,4,0.000654637,3.3151737897396573e-06,45,0.065463664
75,5,0.001115571,1.328904818499211e-05,35,0.111557108
75,6,0,0,25,0
75,7,0,0,15,0
75,8,0,0,5,0
76,1,9.82229331343055e-05,3.404789231133116e-06,76,0.009822293
76,2,0.000194251,8.38500469985856e-06,66,0.019425094
76,3,0.000282048,6.220301444939443e-06,56,0.028204798
76,4,0.000603605,3.1282506854985584e-06,46,0.060360462
76,5,0.001050821,1.1312389055056723e-05,36,0.105082077
76,6,0,0,26,0
76,7,0,0,16,0
76,8,0,0,6,0
77,1,9.767420166428552e-05,2.9550094009345644e-06,77,0.00976742
77,2,0.000170107,7.513815103622387e-06,67,0.017010676
77,3,0.00025516,2.8775721051510227e-06,57,0.025516013
77,4,0.000565193,4.3381031727269365e-06,47,0.056519341
77,5,0.000983876,1.1332334511123473e-05,37,0.098387553
77,6,0,0,27,0
77,7,0,0,17,0
77,8,0,0,7,0
78,1,9.547927578417715e-05,2.5146034975729355e-06,78,0.009547928
78,2,0.000151999,9.247387103359602e-06,68,0.015199862
78,3,0.000243088,5.92274221553602e-06,58,0.024308804
78,4,0.000539952,5.376448429475313e-06,48,0.053995177
78,5,0.000952049,1.2985356624629003e-05,38,0.09520491
78,6,0,0,28,0
78,7,0,0,18,0
78,8,0,0,8,0
79,1,9.383308137411899e-05,2.660074494356266e-06,79,0.009383308
79,2,0.000146511,9.52803900064233e-06,69,0.01465113
79,3,0.000231016,9.75446397695416e-06,59,0.023101595
79,4,0.000515259,4.541561019569127e-06,49,0.051525885
79,5,0.000908151,1.055506057262777e-05,39,0.090815058
79,6,0,0,29,0
79,7,0,0,19,0
79,8,0,0,9,0
80,1,9.438181284414317e-05,2.3918650249651814e-06,80,0.009438181
80,2,0.000136085,9.328434990410584e-06,70,0.01360854
80,3,0.000221139,1.146441746160232e-05,60,0.022113878
