Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
26,3,3326,0.3416388414083742,0,6,34.16388414
26,3,3327,0.3416387924593654,0,6,34.16387925
26,3,3328,4.666666666666667e-06,1.1055415967851332e-06,6,0.000466667
27,1,3326,0.007960447,5.132912895363877e-07,27,0.796044744
27,1,3327,0.000368128,7.862549703245449e-06,27,0.036812826
27,1,3328,1.0000000000000002e-06,6.666666666666667e-07,27,0.0001
27,2,3326,0.047690252,0,17,4.769025206
27,2,3327,0.000440289,1.2123612378342355e-05,17,0.044028851
27,2,3328,4.333333333333333e-06,1.715938356831167e-06,17,0.000433333
27,3,3326,0.2856462822071077,0,7,28.56462822
27,3,3327,0.2856457731304113,0,7,28.56457731
27,3,3328,3.3333333333333335e-07,3.333333333333334e-07,7,3.33333E-05
28,1,3326,0.001963087,0,28,0.196308683
28,1,3327,6.72755511099911e-05,3.229013208044421e-06,28,0.006727555
28,1,3328,0,0,28,0
28,2,3326,0.039874944,0,18,3.98749441
28,2,3327,0.00028309,8.691903123682557e-06,18,0.028309019
28,2,3328,2.666666666666667e-06,1.870828693386971e-06,18,0.000266667
28,3,3326,0.23882988501332042,0,8,23.8829885
28,3,3327,0.2388304267556865,0,8,23.88304268
28,3,3328,3.3333333333333335e-07,3.333333333333334e-07,8,3.33333E-05
29,1,3326,0.00186212,1.477504700463159e-06,29,0.186212024
29,1,3327,5.595194349741833e-05,1.8774468734395624e-06,29,0.005595194
29,1,3328,0,0,29,0
29,2,3326,0.033339552,0,19,3.333955229
29,2,3327,0.000212484,4.782705349409229e-06,19,0.021248417
29,2,3328,2.0000000000000003e-06,1.615893285805443e-06,19,0.0002
29,3,3326,0.1996874974278212,0,9,19.96874974
29,3,3327,0.19901440207466248,1.3657194823130769e-05,9,19.90144021
29,3,3328,0,0,9,0
30,1,3326,0.001760879,2.5883611673814824e-06,30,0.176087929
30,1,3327,5.795022719375469e-05,4.085017977442507e-06,30,0.005795023
30,1,3328,3.3333333333333335e-07,3.3333333333333335e-07,30,3.33333E-05
30,2,3326,0.027875559,0,20,2.787555868
30,2,3327,0.000355917,8.437197828973161e-06,20,0.035591653
30,2,3328,4.333333333333333e-06,1.9436506316151004e-06,20,0.000433333
30,3,3326,0.1669597807269045,0,10,16.69597807
30,3,3327,0.1642016357062212,2.6877738806350225e-05,10,16.42016357
30,3,3328,0.002323333,2.2161026851468077e-05,10,0.232333333
30,4,3326,1,0,0,100
30,4,3327,1,0,0,100
30,4,3328,1,0,0,100
31,1,3326,0.001657443,3.1996268048936397e-06,31,0.165744341
31,1,3327,0.000137882,4.702143289062383e-06,31,0.013788158
31,1,3328,4.3333333333333334e-05,2.4720661623652206e-06,31,0.004333333
31,2,3326,0.023305997,0,21,2.330599736
31,2,3327,0.006846342,3.4199341678203054e-05,21,0.684634198
31,2,3328,7.233333333333333e-05,3.822448313726572e-06,21,0.007233333
31,3,3326,0.1395959141454742,0,11,13.95959141
31,3,3327,0.13930213272378272,9.469585838880915e-06,11,13.93021327
31,3,3328,0.013148,2.021687963614203e-05,11,1.3148
31,4,3326,0.8361048845331804,0,1,83.61048845
31,4,3327,0.8361052118569272,0,1,83.61052119
31,4,3328,0.8361050000000001,0,1,83.6105
32,1,3326,0.000987991,1.2188448808160621e-05,32,0.098799101
32,1,3327,0.000217369,6.254435255507262e-06,32,0.021736886
32,1,3328,0.000102667,4.7609522856952305e-06,32,0.010266667
32,2,3326,0.019486826,0,22,1.948682633
32,2,3327,0.007838379,3.6535150295210056e-05,22,0.783837881
32,2,3328,0.000218,9.043106644179437e-06,22,0.0218
32,3,3326,0.1167165555028163,0,12,11.67165555
32,3,3327,0.11647196352466156,1.0627403746583314e-05,12,11.64719635
32,3,3328,0.015160666666666638,3.8306512356111505e-05,12,1.516066667
32,4,3326,0.6990729181813942,0,2,69.90729182
32,4,3327,0.6990729073806609,0,2,69.90729074
32,4,3328,0.6990716666666666,0,2,69.90716667
33,1,3326,0.000606897,8.747492196720126e-06,33,0.060689701
33,1,3327,0.000212262,5.58840593520541e-06,33,0.021226213
33,1,3328,0.000100667,4.8762462794378125e-06,33,0.010066667
33,2,3326,0.016293209,0,23,1.629320917
33,2,3327,0.006663832,3.353999085017977e-05,23,0.666383206
33,2,3328,0.000189667,4.636809247755761e-06,23,0.018966667
33,3,3326,0.097587776,0,13,9.758777646
33,3,3327,0.097387022,9.456562059057302e-06,13,9.738702204
33,3,3328,0.013316999999999978,4.986481725625253e-05,13,1.3317
