Model,Location,Time,Replicate,Average,SE,Wind,Tide
17012018,3326,25,Rep1,2108.897368563824,9.028914605208206,SE,Spring
17012018,3326,25,Rep2,2105.0331861739373,9.079158534,SE,Spring
17012018,3326,25,Rep3,2122.777118504519,8.879294509845666,SE,Spring
17012018,3326,25,Rep4,2125.7104313245995,8.985147044950548,SE,Spring
17012018,3326,25,Rep5,2105.0090602007376,8.879095317893999,SE,Spring
17012018,3326,26,Rep1,2428.5905261369703,12.250026855569661,SE,Spring
17012018,3326,26,Rep2,2431.4526123931523,12.367251358222784,SE,Spring
17012018,3326,26,Rep3,2451.083393171959,12.010635660088832,SE,Spring
17012018,3326,26,Rep4,2447.2781356288037,12.136020957155857,SE,Spring
17012018,3326,26,Rep5,2422.293221113983,12.013886899138708,SE,Spring
17012018,3326,27,Rep1,2653.811385183553,26.84037470618848,SE,Spring
17012018,3326,27,Rep2,2613.6951995988156,27.437740368742077,SE,Spring
17012018,3326,27,Rep3,2663.4782634599032,26.163152760650224,SE,Spring
17012018,3326,27,Rep4,2678.393319040177,27.282517756087717,SE,Spring
17012018,3326,27,Rep5,2669.082654247826,25.817223486734072,SE,Spring
17012018,3326,28,Rep1,2808.6388417941116,28.967047626089798,SE,Spring
17012018,3326,28,Rep2,2751.052020521462,29.71448006505046,SE,Spring
17012018,3326,28,Rep3,2807.5837267884076,28.686511662184255,SE,Spring
17012018,3326,28,Rep4,2839.107366313799,29.548125676055818,SE,Spring
17012018,3326,28,Rep5,2815.438016746424,28.098885060870234,SE,Spring
17012018,3326,29,Rep1,3012.507993081864,33.27223624044603,SE,Spring
17012018,3326,29,Rep2,2940.0560661133222,34.277539829217964,SE,Spring
17012018,3326,29,Rep3,3000.9945856555128,32.82949202092302,SE,Spring
17012018,3326,29,Rep4,3038.730934,33.97413933714466,SE,Spring
17012018,3326,29,Rep5,3001.399363819869,32.39167564417453,SE,Spring
17012018,3326,30,Rep1,3084.2339158953423,34.63491056752557,SE,Spring
17012018,3326,30,Rep2,2994.9020224344067,35.87177783006469,SE,Spring
17012018,3326,30,Rep3,3078.8446561055475,34.36258348958538,SE,Spring
17012018,3326,30,Rep4,3112.210535132782,35.608142272674606,SE,Spring
17012018,3326,30,Rep5,3063.606443906832,33.497659481932764,SE,Spring
17012018,3326,31,Rep1,3087.829493510093,34.78715225172964,SE,Spring
17012018,3326,31,Rep2,2989.6527340180423,36.094294054266356,SE,Spring
17012018,3326,31,Rep3,3061.8262308843864,34.74305621476027,SE,Spring
17012018,3326,31,Rep4,3106.2964744645296,36.07963645410141,SE,Spring
17012018,3326,31,Rep5,3067.5669295328457,34.00614136336357,SE,Spring
17012018,3326,32,Rep1,3015.8267121372223,33.20140481524547,SE,Spring
17012018,3326,32,Rep2,2923.0715580026076,34.49110410971549,SE,Spring
17012018,3326,32,Rep3,3002.906000002721,33.24260430357624,SE,Spring
17012018,3326,32,Rep4,3019.9391763048006,34.71984235385951,SE,Spring
17012018,3326,32,Rep5,3004.7048929517664,32.36824689746038,SE,Spring
17012018,3326,33,Rep1,2901.331281,29.53713301543629,SE,Spring
17012018,3326,33,Rep2,2820.847362544832,30.54932647825433,SE,Spring
17012018,3326,33,Rep3,2886.0181248494796,29.40414933151056,SE,Spring
17012018,3326,33,Rep4,2896.4347466276363,31.315959393468155,SE,Spring
17012018,3326,33,Rep5,2896.232424877413,28.352783872079353,SE,Spring
17012018,3326,34,Rep1,2845.743298281479,26.626793110045217,SE,Spring
17012018,3326,34,Rep2,2772.7757123519596,28.17353139971674,SE,Spring
17012018,3326,34,Rep3,2843.728041,26.772912878204004,SE,Spring
17012018,3326,34,Rep4,2847.9302489491197,28.407715021334095,SE,Spring
17012018,3326,34,Rep5,2862.135891117966,25.720068492073228,SE,Spring
17012018,3326,35,Rep1,2855.4862638294394,24.17847438,SE,Spring
17012018,3326,35,Rep2,2785.4612513525854,26.103528490128408,SE,Spring
17012018,3326,35,Rep3,2860.891874937394,24.80528763507563,SE,Spring
17012018,3326,35,Rep4,2855.1042291153785,26.015643582687545,SE,Spring
17012018,3326,35,Rep5,2887.8923848914537,23.599880581071112,SE,Spring
17012018,3326,36,Rep1,2936.7399033095458,23.077282316910004,SE,Spring
17012018,3326,36,Rep2,2871.623796679623,25.13638087322295,SE,Spring
17012018,3326,36,Rep3,2949.531642789441,23.84443717956554,SE,Spring
17012018,3326,36,Rep4,2940.603828116593,24.98168042455704,SE,Spring
17012018,3326,36,Rep5,2970.586024,22.655874066218722,SE,Spring
17012018,3326,37,Rep1,3132.1339752677313,24.021261972703726,SE,Spring
17012018,3326,37,Rep2,3097.681482784308,26.293101713929317,SE,Spring
17012018,3326,37,Rep3,3173.244606441641,24.75341174,SE,Spring
17012018,3326,37,Rep4,3136.494191916407,26.281979376129147,SE,Spring
17012018,3326,37,Rep5,3178.5051047950496,23.514391643527894,SE,Spring
17012018,3326,38,Rep1,3492.411708244416,26.605526441099528,SE,Spring
17012018,3326,38,Rep2,3457.830647968762,29.11872896779715,SE,Spring
17012018,3326,38,Rep3,3530.028927940773,27.767114107876072,SE,Spring
