Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
43,2,3327,0.001512257,1.5856222219180469e-06,33,0.15122567
43,2,3328,0.001526333,8.16496580925674e-07,33,0.152633333
43,3,3326,0.000213731,6.767997093667339e-06,23,0.021373091
43,3,3327,0.014186037991813661,1.9246432060268698e-05,23,1.418603799
43,3,3328,0.016115999999999957,6.883958809359766e-06,23,1.6116
43,4,3326,0,0,13,0
43,4,3327,0.071629589,9.160515812328686e-05,13,7.162958925
43,4,3328,0.096490333,1.729161646578585e-05,13,9.649033333
43,5,3326,0,0,3,0
43,5,3327,0,0,3,0
43,5,3328,0,0,3,0
44,1,3326,0.000636529,5.689368973443344e-06,44,0.063652851
44,1,3327,0.000878579,7.529455237957794e-07,44,0.087857873
44,1,3328,0.000881667,0,44,0.088166667
44,2,3326,0.001120235,9.686703656981525e-06,34,0.11202353
44,2,3327,0.001441651,1.2946551228528194e-06,34,0.144165067
44,2,3328,0.001452333,9.999999999999896e-07,34,0.145233333
44,3,3326,0.000164345,5.066488506159638e-06,24,0.016434508
44,3,3327,0.012439538,1.2046105313601953e-05,24,1.243953804
44,3,3328,0.013529,5.6421036266072e-06,24,1.3529
44,4,3326,0,0,14,0
44,4,3327,0.067148327,7.963599365139023e-05,14,6.714832705
44,4,3328,0.081083333,1.5338767153135126e-05,14,8.108333333
44,5,3326,0,0,4,0
44,5,3327,0,0,4,0
44,5,3328,0.43895633333333334,0.000116362,4,43.89563333
45,1,3326,0.000672745,7.791697045989241e-06,45,0.067274478
45,1,3327,0.000835949,9.288244946627149e-07,45,0.083594868
45,1,3328,0.000838333,0,45,0.083833333
45,2,3326,0.000710333,1.1611214957050106e-05,35,0.071033289
45,2,3327,0.001374597,1.185323966424239e-06,35,0.137459715
45,2,3328,0.001382667,6.666666666600141e-07,35,0.138266667
45,3,3326,0.000107551,3.024252241562038e-06,25,0.010755137
45,3,3327,0.010677051821047001,1.39350209515628e-05,25,1.067705182
45,3,3328,0.011332,4.2622372841823905e-06,25,1.1332
45,4,3326,0,0,15,0
45,4,3327,0.060364598,5.2895719104137315e-05,15,6.036459796
45,4,3328,0.067943667,4.576510072578341e-06,15,6.794366667
45,5,3326,0,0,5,0
45,5,3327,0,0,5,0
45,5,3328,0.405112,2.159861106645637e-05,5,40.5112
46,1,3326,0.000663142,6.784660222124431e-06,46,0.066314198
46,1,3327,0.000796649,6.660945654366812e-07,46,0.07966491
46,1,3328,0.000796667,0,46,0.079666667
46,2,3326,0.00059894,7.82784242501003e-06,36,0.05989404
46,2,3327,0.00130932,6.660945654366933e-07,36,0.130931988
46,2,3328,0.001315,0,36,0.1315
46,3,3326,7.599930859834778e-05,4.372670278374005e-06,26,0.007599931
46,3,3327,0.00908442,1.4299071341462477e-05,26,0.908441972
46,3,3328,0.009482667,2.147349787776058e-06,26,0.948266667
46,4,3326,0,0,16,0
