Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
80,1,2.1949258800966865e-06,1.0265825790856328e-06,80,0.000219493
80,2,4.005739731176453e-05,2.544363154738352e-06,70,0.00400574
80,3,1.2072092340531775e-05,2.5443631547383524e-06,60,0.001207209
80,4,0,0,50,0
80,5,0,0,40,0
80,6,0,0,30,0
80,7,0,0,20,0
80,8,0,0,10,0
80,9,0,0,0,0
81,1,7.133509110314232e-06,2.824768131044483e-06,81,0.000713351
81,2,4.609344348203042e-05,6.036046170265886e-06,71,0.004609344
81,3,2.5241647621111894e-05,2.660074494366629e-06,61,0.002524165
81,4,0,0,51,0
81,5,0,0,41,0
81,6,0,0,31,0
81,7,0,0,21,0
81,8,0,0,11,0
81,9,0,0,1,0
82,1,9.328434990410917e-06,2.0531651581712655e-06,82,0.000932843
82,2,5.1580758182272137e-05,7.0699104342524355e-06,72,0.005158076
82,3,3.127769379137779e-05,2.0531651581712634e-06,62,0.003127769
82,4,0,0,52,0
82,5,0,0,42,0
82,6,0,0,32,0
82,7,0,0,22,0
82,8,0,0,12,0
82,9,0,0,2,0
83,1,8.230972050362575e-06,2.454001736734872e-06,83,0.000823097
83,2,3.950866584174036e-05,5.5283163765093245e-06,73,0.003950867
83,3,2.3595453211039376e-05,1.8608389509146716e-06,63,0.002359545
83,4,0,0,53,0
83,5,0,0,43,0
83,6,0,0,33,0
83,7,0,0,23,0
83,8,0,0,13,0
83,9,0,0,3,0
84,1,1.646194410072515e-06,1.0974629400483432e-06,84,0.000164619
84,2,2.7436573501208582e-06,8.676206345443963e-07,74,0.000274366
84,3,0,0,64,0
84,4,0,0,54,0
84,5,0,0,44,0
84,6,0,0,34,0
84,7,0,0,24,0
84,8,0,0,14,0
84,9,0,0,4,0
85,1,0,0,85,0
85,2,0,0,75,0
85,3,0,0,65,0
85,4,0,0,55,0
85,5,0,0,45,0
85,6,0,0,35,0
85,7,0,0,25,0
85,8,0,0,15,0
85,9,0,0,5,0
86,1,0,0,86,0
86,2,2.1949258800966865e-06,1.0265825790856328e-06,76,0.000219493
86,3,0,0,66,0
86,4,0,0,56,0
86,5,0,0,46,0
86,6,0,0,36,0
86,7,0,0,26,0
86,8,0,0,16,0
86,9,0,0,6,0
87,1,4.389851760193373e-06,1.0974629400483432e-06,87,0.000438985
87,2,1.4267018220628464e-05,2.0161681610498143e-06,77,0.001426702
87,3,2.0303064390894352e-05,2.053165158171266e-06,67,0.002030306
87,4,0,0,57,0
87,5,0,0,47,0
87,6,0,0,37,0
87,7,0,0,27,0
87,8,0,0,17,0
87,9,0,0,7,0
88,1,1.2072092340531777e-05,1.646194410072515e-06,88,0.001207209
88,2,3.29238882014503e-05,2.8775721051538277e-06,78,0.003292389
88,3,4.883710083215128e-05,4.013624683677652e-06,68,0.00488371
88,4,0,0,58,0
88,5,0,0,48,0
88,6,0,0,38,0
88,7,0,0,28,0
88,8,0,0,18,0
88,9,0,0,8,0
89,1,1.4815749690652634e-05,2.3918650249758824e-06,89,0.001481575
89,2,3.841120290169201e-05,2.2955084313525284e-06,79,0.00384112
89,3,5.1580758182272137e-05,3.721677901829344e-06,69,0.005158076
89,4,0,0,59,0
89,5,0,0,49,0
89,6,0,0,39,0
89,7,0,0,29,0
89,8,0,0,19,0
89,9,0,0,9,0
90,1,1.9205601450846006e-05,3.1282506855004244e-06,90,0.00192056
90,2,3.8959934371716186e-05,3.721677901829343e-06,80,0.003895993
90,3,5.59706099424655e-05,3.5349552171262165e-06,70,0.005597061
90,4,1.0974629400483432e-06,1.0974629400483432e-06,60,0.000109746
90,5,0,0,50,0
90,6,0,0,40,0
90,7,0,0,30,0
90,8,0,0,20,0
90,9,0,0,10,0
90,10,0,0,0,0
91,1,2.1949258800966866e-05,3.1282506855004236e-06,91,0.002194926
91,2,4.280105466188538e-05,4.032336322099631e-06,81,0.004280105
91,3,5.981173023263471e-05,2.9294244224001245e-06,71,0.005981173
91,4,2.7436573501208582e-06,1.227000868367436e-06,61,0.000274366
91,5,0,0,51,0
91,6,0,0,41,0
91,7,0,0,31,0
91,8,0,0,21,0
91,9,0,0,11,0
91,10,0,0,1,0
92,1,2.633911056116024e-05,2.688224214733087e-06,92,0.002633911
92,2,4.664217495205459e-05,4.1609623894246e-06,82,0.004664217
92,3,6.859143375302145e-05,2.877572105153829e-06,72,0.006859143
92,4,3.29238882014503e-06,1.5998134024493455e-06,62,0.000329239
92,5,0,0,52,0
92,6,0,0,42,0
92,7,0,0,32,0
92,8,0,0,22,0
92,9,0,0,12,0
92,10,0,0,2,0
93,1,2.7436573501208586e-05,2.2955084313525293e-06,93,0.002743657
93,2,4.664217495205459e-05,4.1609623894246e-06,83,0.004664217
93,3,6.914016522304562e-05,3.6191326087168515e-06,73,0.006914017
93,4,3.29238882014503e-06,1.5998134024493455e-06,63,0.000329239
93,5,0,0,53,0
93,6,0,0,43,0
93,7,0,0,33,0
93,8,0,0,23,0
93,9,0,0,13,0
93,10,0,0,3,0
94,1,2.7436573501208586e-05,2.2955084313525293e-06,94,0.002743657
