Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
71,8,0,0,1,0
72,1,0.000157486,1.860838950924116e-06,72,0.015748593
72,2,0.000239247,1.0497851150947154e-05,62,0.023924692
72,3,0.000355578,1.3260695158911454e-05,52,0.035557799
72,4,0.000794563,1.0214367693414808e-05,42,0.079456317
72,5,0.001065088,1.4293375195289735e-05,32,0.106508778
72,6,5.487314700241716e-07,5.487314700241716e-07,22,5.48731E-05
72,7,0,0,12,0
72,8,0,0,2,0
73,1,0.000147609,1.8199363967300577e-06,73,0.014760877
73,2,0.000243637,1.1555977298243566e-05,63,0.024363677
73,3,0.000391794,1.237386423151195e-05,53,0.039179427
73,4,0.000749567,9.638011764947062e-06,43,0.074956719
73,5,0.001011861,9.598880414703684e-06,33,0.101186083
73,6,0,0,23,0
73,7,0,0,13,0
73,8,0,0,3,0
74,1,8.450464638372243e-05,3.292388820145029e-06,74,0.008450465
74,2,0.000256806,8.438697914673618e-06,64,0.025680633
74,3,0.000428559,1.1653278852481392e-05,54,0.042855928
74,4,0.000683719,9.5201351925567e-06,44,0.068371941
74,5,0.000962475,8.429772795396394e-06,34,0.0962475
74,6,2.1949258800966862e-05,3.1282506855004244e-06,24,0.002194926
74,7,0,0,14,0
74,8,0,0,4,0
75,1,8.285845197364991e-05,2.6600744943666286e-06,75,0.008285845
75,2,0.000259001,5.320148988727885e-06,65,0.025900125
75,3,0.000436242,7.951874464617448e-06,55,0.043624152
75,4,0.000598666,6.457802437974299e-06,45,0.059866603
75,5,0.000897725,9.440733178814677e-06,35,0.089772468
75,6,0.000819256,1.6384022724989087e-05,25,0.081925608
75,7,0,0,15,0
75,8,0,0,5,0
76,1,8.121225756357741e-05,2.3918650249758816e-06,76,0.008121226
76,2,0.000239247,4.541561019558855e-06,66,0.023924692
76,3,0.000398379,6.853653863915071e-06,56,0.039837905
76,4,0.000379722,1.1724120105919335e-05,46,0.037972218
76,5,0.000538306,9.40078067971493e-06,36,0.053830557
76,6,0.001543582,1.7278507553380014e-05,26,0.154358163
76,7,0,0,16,0
76,8,0,0,6,0
77,1,8.285845197364991e-05,4.196988710063558e-06,77,0.008285845
77,2,0.000203031,4.984101088561747e-06,67,0.020303064
77,3,0.000325398,9.124465548344257e-06,57,0.032539776
77,4,0.000317716,1.3054735693465194e-05,47,0.031771552
77,5,0.000421426,1.6589487356224353e-05,37,0.042142577
77,6,0.001783926,3.137141533813516e-05,27,0.178392601
77,7,6.96888966930698e-05,2.2289577681543598e-06,17,0.00696889
77,8,0,0,7,0
78,1,8.230972050362574e-05,4.33810317272198e-06,78,0.008230972
78,2,0.000179435,8.78827326719601e-06,68,0.017943519
78,3,0.00029412,7.122948765354725e-06,58,0.029412007
78,4,0.000338567,8.393977420121474e-06,48,0.033856732
78,5,0.000584948,9.638011764929405e-06,38,0.058494775
78,6,0.001695032,1.2584986093686446e-05,28,0.169503151
78,7,0.003576083,4.869972474895729e-05,18,0.357608299
78,8,0,0,8,0
79,1,8.176098903360158e-05,4.704392375782904e-06,79,0.008176099
79,2,0.000178338,7.904400162917607e-06,69,0.017833773
79,3,0.000281499,1.1332334511128062e-05,59,0.028149924
79,4,0.000355578,1.1299072524165846e-05,49,0.035557799
79,5,0.00064037,9.20659560716457e-06,39,0.064036963
79,6,0.001768013,7.642944974413895e-06,29,0.17680128
79,7,0.00409628,5.792301895944256e-05,19,0.409628042
79,8,0,0,9,0
80,1,8.779703520386746e-05,4.06950149781504e-06,80,0.008779704
80,2,0.000173948,6.641691210658768e-06,70,0.017394788
80,3,0.000276561,1.0745893994723436e-05,60,0.027656066
80,4,0.000506479,3.1996268049043704e-06,50,0.050647915
80,5,0.00088236,2.8247681310433966e-06,40,0.08823602
80,6,0.001720822,7.016471191618905e-06,30,0.172082189
80,7,0.006878349,5.355405497725689e-05,20,0.687834898
80,8,0,0,10,0
80,9,0,0,0,0
81,1,8.724830373384328e-05,3.1760130002140646e-06,81,0.00872483
81,2,0.000177789,3.91872651966494e-06,71,0.0177789
81,3,0.000284792,3.5135957755631466e-06,61,0.028479163
81,4,0.000550926,5.2345646030705175e-06,51,0.05509264
81,5,0.000937233,5.92274221553972e-06,41,0.093723335
81,6,0.001662656,3.577291519199263e-06,31,0.166265635
81,7,0.006767505,6.259268057956232e-05,21,0.676750522
81,8,0,0,11,0
81,9,0,0,1,0
82,1,9.108942402401248e-05,3.2923888201450295e-06,82,0.009108942
82,2,0.000181081,6.994981183442958e-06,72,0.018108139
82,3,0.000295766,1.0265825790778352e-06,62,0.029576626
82,4,0.000531172,5.528316376503542e-06,52,0.053117206
82,5,0.000889494,4.4579155363025065e-06,42,0.088949371
82,6,0.001560044,7.593539511745672e-06,32,0.156004357
82,7,0.004669156,6.878541041029512e-05,22,0.466915608
82,8,0,0,12,0
82,9,0,0,2,0
83,1,9.163815549402231e-05,3.5349552171161952e-06,83,0.009163816
83,2,0.000168461,4.799440207349278e-06,73,0.016846056
83,3,0.000279304,2.3601832946977146e-06,63,0.027930432
83,4,0.000504284,5.305980790501661e-06,53,0.050428422
83,5,0.000845046,4.160962389422618e-06,43,0.084504646
83,6,0.001461821,8.15747975720107e-06,33,0.146182064
83,7,0.003583765,5.4095294243339976e-05,23,0.358376523
83,8,0,0,13,0
83,9,0,0,3,0
84,1,8.999196108396413e-05,2.514603497590154e-06,84,0.008999196
84,2,9.986912754434698e-05,5.92274221551779e-06,74,0.009986913
84,3,0.000267232,5.248925575475405e-06,64,0.026723223
84,4,0.000475201,5.446004340811271e-06,54,0.047520145
84,5,0.000785235,6.399253609807896e-06,44,0.078523473
84,6,0.00133232,7.186078053594797e-06,34,0.133232001
84,7,0.00273817,4.435909363573419e-05,24,0.273817004
84,8,0,0,14,0
84,9,0,0,4,0
85,1,8.944322961393997e-05,2.6882242147330802e-06,85,0.008944323
85,2,0.00010371,3.721677901816298e-06,75,0.010371025
85,3,0.000257904,6.135004341837495e-06,65,0.025790379
85,4,0.000381917,1.2494942107992963e-05,55,0.03819171
85,5,0.000533916,8.074001360609153e-06,45,0.053391572
85,6,0.000695243,2.1752894852525244e-05,35,0.069524277
85,7,0.000635431,2.2096238272046584e-05,25,0.063543104
85,8,0,0,15,0
85,9,0,0,5,0
86,1,8.560210932377076e-05,2.1949258800966852e-06,86,0.008560211
86,2,0.000107551,1.5998134024577614e-06,76,0.010755137
86,3,0.00025955,4.877231988475959e-06,66,0.025954999
86,4,0.000265586,8.907384049333501e-06,56,0.026558603
86,5,0.000365455,1.4605949515825451e-05,46,0.036545516
86,6,0.000529526,1.8364067450819556e-05,36,0.052952587
86,7,0.000236503,1.0533643450994629e-05,26,0.023650326
86,8,0,0,16,0
86,9,0,0,6,0
87,1,8.395591491369826e-05,1.3989962366878521e-06,87,0.008395591
87,2,0.000104259,1.7352412690833673e-06,77,0.010425898
87,3,0.000241991,5.234564603063705e-06,67,0.024199058
87,4,0.000226077,5.10349767961816e-06,57,0.022607737
87,5,0.000318264,1.230064545717643e-05,47,0.031826425
87,6,0.000593179,1.714291914365431e-05,37,0.059317872
87,7,0.000496602,2.7885602542314642e-05,27,0.049660198
87,8,0,0,17,0
87,9,0,0,7,0
88,1,8.395591491369826e-05,1.646194410072515e-06,88,0.008395591
88,2,0.000102064,2.0161681610380854e-06,78,0.010206405
88,3,0.000232113,4.799440207342993e-06,68,0.023211341
88,4,0.000234857,6.232391449449849e-06,58,0.023485707
88,5,0.000381917,1.1971907269470205e-05,48,0.03819171
88,6,0.000819805,6.962621806284044e-06,38,0.081980482
88,7,0.00034625,2.0593885490494992e-05,28,0.034624956
88,8,0,0,18,0
88,9,0,0,8,0
89,1,8.615084079379495e-05,1.8608389509146707e-06,89,0.008615084
89,2,0.000104259,1.2270008683804718e-06,79,0.010425898
89,3,0.000228821,3.079747737264664e-06,69,0.022882102
89,4,0.000241991,7.731079219602515e-06,59,0.024199058
89,5,0.00039344,1.2531037345749024e-05,49,0.039344046
89,6,0.000834621,7.433235668728299e-06,39,0.083462057
89,7,0.000610189,1.7322019351203146e-05,29,0.061018939
89,8,0,0,19,0
89,9,0,0,9,0
90,1,8.724830373384328e-05,2.5146034975901583e-06,90,0.00872483
90,2,0.000104259,1.2270008683804703e-06,80,0.010425898
90,3,0.000215103,1.6461944100599994e-06,70,0.021510274
90,4,0.00023376,7.122948765363585e-06,60,0.023375961
90,5,0.000379722,1.1978193385560415e-05,50,0.037972218
90,6,0.000770968,1.2422436996206855e-05,40,0.077096772
90,7,0.000813769,1.2349506207452176e-05,30,0.081376877
90,8,0.001124351,2.9183539209494917e-05,20,0.112435078
90,9,0,0,10,0
90,10,0,0,0,0
91,1,8.395591491369825e-05,2.544363154738347e-06,91,0.008395591
91,2,0.000102064,1.0265825790696715e-06,81,0.010206405
91,3,0.000206872,1.398996236692901e-06,71,0.020687176
91,4,0.000216749,6.316373561690255e-06,61,0.021674893
91,5,0.000357773,1.1464417461614767e-05,51,0.035777292
91,6,0.000656832,1.0682661640614222e-05,41,0.065683157
91,7,0.001142459,1.2440602889896532e-05,31,0.114245892
91,8,0.003069055,3.648754827500156e-05,21,0.306905511
91,9,0,0,11,0
91,10,0,0,1,0
92,1,8.340718344367409e-05,2.688224214733083e-06,92,0.008340718
92,2,0.000100967,1.0265825790669517e-06,82,0.010096659
92,3,0.000197543,1.502763020732871e-06,72,0.019754333
92,4,0.000212359,6.584777640289585e-06,62,0.021235908
92,5,0.000353383,1.095403264277417e-05,52,0.035338307
92,6,0.00063598,1.2003304929658431e-05,42,0.063597977
92,7,0.001269765,1.649392237666003e-05,32,0.126976462
92,8,0.0050829,6.153748819816644e-05,22,0.508289961
92,9,0,0,12,0
92,10,0,0,2,0
93,1,8.176098903360158e-05,2.6600744943666282e-06,93,0.008176099
93,2,0.000103162,6.720560536781647e-07,83,0.010316152
93,3,0.000187117,2.3601832947070074e-06,73,0.018711743
93,4,0.000212359,6.4694486195584e-06,63,0.021235908
93,5,0.000348993,1.0020924430211253e-05,53,0.034899321
93,6,0.000659575,5.103497679611715e-06,43,0.065957523
93,7,0.001259887,1.518707902347151e-05,33,0.125988746
93,8,0.004865602,4.555297529056346e-05,23,0.486560194
93,9,0,0,13,0
93,10,0,0,3,0
94,1,8.340718344367409e-05,3.079747737256893e-06,94,0.008340718
