Timestep,ReleaseNumber,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
98,2,8.724830373384328e-05,4.013624683677649e-06,88,0.00872483
98,3,9.822293313432402e-05,2.360183294702685e-06,78,0.009822293
98,4,0.000262842,5.487314700400047e-07,68,0.026284237
98,5,0.000436242,0,58,0.043624152
98,6,0.000721582,0,48,0.072158188
98,7,0.001190747,0,38,0.119074729
98,8,0.001961715,0,28,0.196171501
98,9,0.039873572,0,18,3.987357227
98,10,0.23882988501332042,0,8,23.8829885
99,1,9.273561843408499e-05,1.8199363967303241e-06,99,0.009273562
99,2,8.944322961393995e-05,1.8608389509146682e-06,89,0.008944323
99,3,0.000107003,2.1252278449467382e-06,79,0.010700264
99,4,0.000251868,5.487314700400047e-07,69,0.025186774
99,5,0.000414292,0,59,0.041429226
99,6,0.000685914,0,49,0.068591434
99,7,0.001130387,0,39,0.113038683
99,8,0.001865687,0,29,0.1865687
99,9,0.03333818,0,19,3.333818046
99,10,0.1996861255991461,0,9,19.96861256
100,1,9.43818128441575e-05,1.097462940048345e-06,100,0.009438181
100,2,8.999196108396413e-05,2.194925880096686e-06,90,0.008999196
100,3,0.000105905,2.5443631547395e-06,80,0.010590517
100,4,0.000238698,0,70,0.023869819
100,5,0.000395087,0,60,0.039508666
100,6,0.00065299,0,50,0.065299045
100,7,0.001075514,0,40,0.107551368
100,8,0.001775146,0,30,0.177514631
100,9,0.027875559,0,20,2.787555868
100,10,0.1669597807269045,0,10,16.69597807
100,11,1,0,0,100
101,1,9.108942402401248e-05,1.5998134024493461e-06,101,0.009108942
101,2,8.669957226381911e-05,2.228957768154355e-06,91,0.008669957
101,3,0.000102064,1.5998134024421478e-06,81,0.010206405
101,4,0.000225529,1.0265825790938621e-06,71,0.022552863
101,5,0.000375881,0,61,0.037588106
101,6,0.000620067,0,51,0.062006656
101,7,0.001023384,0,41,0.102338419
101,8,0.001687349,0,31,0.168734927
101,9,0.023304626,0,21,2.330462553
101,10,0.1395945423167991,0,11,13.95945423
101,11,0.8361048845331804,0,1,83.61048845
102,1,8.121225756357741e-05,2.5443631547383532e-06,102,0.008121226
102,2,7.956606315350489e-05,1.5027630207260425e-06,92,0.007956606
102,3,9.054069255398832e-05,3.577291519191966e-06,82,0.009054069
102,4,0.000209067,1.3441121073747026e-06,72,0.020906669
102,5,0.000356127,5.487314700400047e-07,62,0.035612672
102,6,0.000589886,0,52,0.058988633
102,7,0.000973998,0,42,0.097399836
102,8,0.00160504,0,32,0.160503955
102,9,0.019485455,0,22,1.94854545
102,10,0.11671518367414131,0,12,11.67151837
102,11,0.6990729181813942,0,2,69.90729182
103,1,7.791986874343237e-05,2.544363154738353e-06,103,0.007791987
103,2,7.51762113933115e-05,2.3918650249758816e-06,93,0.007517621
103,3,8.395591491369825e-05,4.214886397697857e-06,83,0.008395591
103,4,0.000180533,3.918726519676843e-06,73,0.018053265
103,5,0.00032869,3.404789231139073e-06,63,0.032869015
103,6,0.00056245,0,53,0.056244976
103,7,0.000927356,0,43,0.092735618
103,8,0.001528217,0,33,0.152821714
103,9,0.016291837,0,23,1.629183735
103,10,0.097586405,0,13,9.758640463
103,11,0.5844977872403472,0,3,58.44977872
104,1,7.243255404319065e-05,3.3151737897300985e-06,104,0.007243255
104,2,7.298128551321483e-05,2.053165158171262e-06,94,0.007298129
104,3,7.901733168348071e-05,4.6236935516789065e-06,84,0.007901733
104,4,9.547927578418464e-05,4.704392375773094e-06,74,0.009547928
104,5,0.000307838,4.8617732111107505e-06,64,0.030783835
104,6,0.000535013,0,54,0.053501318
104,7,0.000880714,0,44,0.088071401
104,8,0.001454138,0,34,0.14541384
104,9,0.013622259,0,24,1.362225874
104,10,0.081593626,0,14,8.159362594
104,11,0.48870299086087743,0,4,48.87029909
105,1,6.96888966930698e-05,3.3151737897300993e-06,105,0.00696889
105,2,6.96888966930698e-05,2.5443631547383532e-06,95,0.00696889
105,3,7.462747992328734e-05,3.6191326087168515e-06,85,0.007462748
105,4,8.834576667389163e-05,4.106330316342529e-06,75,0.008834577
105,5,0.000272171,5.715769899327178e-06,65,0.027217081
105,6,0.000507577,0,55,0.050757661
105,7,0.000836815,0,45,0.083681549
105,8,0.001382803,0,35,0.13828033
105,9,0.011388922,0,25,1.138892166
105,10,0.06822104,0,15,6.822104001
105,11,0.4086074018387992,0,5,40.86074018
106,1,6.255538758275556e-05,3.2923888201450283e-06,106,0.006255539
106,2,6.255538758275558e-05,3.7216779018293436e-06,96,0.006255539
